city,state,pm2_5_mean,pm2_5_p95,pm10_mean,no2_mean,so2_mean,co_mean,ozone_max_mean,aqi_mean,temp_mean,precip_total,wind_mean,days,unhealthy_day_share,county,latitude,longitude,region,uninsured,high_bp,asthma,heart_disease,copd,smoking,depression,diabetes,inactivity,obesity,population,asthma_level,pm_level
Phoenix,AZ,11.471118721461186,20.962500000000002,22.723139269406392,28.685148401826485,3.1964155251141553,280.31552511415526,120.48219178082192,79.16164383561645,23.512054794520548,253.7,18.498356164383562,365,0.2136986301369863,Maricopa,33.45,-112.07,West,12.9,30.8,10.0,5.7,5.7,10.8,18.6,10.6,20.4,30.4,4585871.0,Low,Medium
Portland,OR,7.949737442922374,16.064166666666665,11.926666666666668,13.734668949771688,1.5952054794520547,216.5134703196347,76.78630136986301,48.16986301369863,11.946575342465753,1367.4,17.71753424657534,365,0.005479452054794521,Multnomah,45.52,-122.68,West,7.5,28.5,11.7,5.2,5.3,12.0,29.9,9.5,17.6,28.9,789698.0,High,Low
Raleigh,NC,11.749292237442923,23.30000000000001,17.143344748858446,8.953390410958905,2.702066210045662,235.64132420091323,103.38082191780822,66.26301369863013,16.807945205479452,1079.5,15.877534246575342,365,0.1178082191780822,Wake,35.78,-78.64,South,7.9,32.2,10.1,4.7,4.6,9.6,23.1,9.5,18.0,29.3,1190275.0,Low,High
Riverside,CA,12.334463470319633,22.31333333333334,18.770559360730594,22.438276255707763,3.77796803652968,266.50696347031965,149.51780821917808,105.93424657534247,17.365479452054792,724.0,19.86904109589041,365,0.3863013698630137,Riverside,33.95,-117.4,West,12.7,33.3,9.5,6.0,5.4,11.5,21.7,12.4,27.3,36.8,2492442.0,Low,High
Sacramento,CA,9.334611872146118,17.83,14.098093607305936,14.400011415525114,2.051541095890411,211.47705479452054,97.55616438356165,58.14246575342466,16.11945205479452,755.6,16.357260273972603,365,0.043835616438356165,Sacramento,38.58,-121.49,West,8.7,30.9,10.2,5.7,5.6,11.8,22.5,11.2,21.5,29.6,1584288.0,High,Low
Salt Lake City,UT,12.00304794520548,24.995833333333334,18.852009132420093,25.532979452054796,2.6276826484018265,245.55239726027398,111.46301369863014,72.24109589041096,10.613424657534248,686.9,18.591506849315067,365,0.11506849315068493,Salt Lake,40.76,-111.89,West,11.6,27.5,11.0,4.4,4.4,8.2,27.8,8.5,18.6,29.9,1185813.0,High,High
San Antonio,TX,8.424052511415525,15.638333333333339,13.00752283105023,8.086141552511416,1.4817009132420091,177.20285388127854,96.54520547945205,54.05205479452055,22.37945205479452,848.1,20.578356164383564,365,0.0410958904109589,Bexar,29.42,-98.49,South,21.9,33.5,9.0,5.4,5.1,12.2,22.2,13.9,30.6,34.1,2087679.0,Low,Low
San Diego,CA,15.162248858447489,27.872500000000002,24.89019406392694,26.752773972602743,3.455719178082192,285.16118721461186,101.87123287671233,70.26849315068493,16.246849315068495,573.6999999999999,19.303835616438356,365,0.07397260273972603,San Diego,32.72,-117.16,West,8.7,28.7,8.9,5.2,4.7,10.0,21.1,10.0,20.6,25.3,3269973.0,Low,High
San Francisco,CA,10.898641552511416,21.577500000000004,17.23543378995434,14.045410958904109,2.194109589041096,200.01826484018267,79.26849315068493,55.86027397260274,13.204383561643837,881.9,26.945205479452056,365,0.010958904109589041,San Francisco,37.77,-122.42,West,6.3,27.0,8.4,4.9,3.9,8.8,19.4,10.2,19.2,17.2,808988.0,Low,Medium
San Jose,CA,8.149737442922374,14.190833333333336,12.533504566210047,15.111632420091324,2.390239726027397,205.9777397260274,91.44109589041096,49.33698630136986,15.252876712328767,803.4,19.37123287671233,365,0.005479452054794521,Santa Clara,37.34,-121.89,West,6.8,27.0,7.9,4.5,3.5,8.1,17.8,10.5,22.2,21.9,1877592.0,Low,Low
Seattle,WA,9.898287671232877,19.26583333333334,14.772294520547945,20.497043378995436,2.519657534246575,242.60331050228308,80.96986301369863,55.271232876712325,11.402739726027397,1006.7,19.167123287671235,365,0.0273972602739726,King,47.61,-122.33,West,6.8,26.7,9.7,4.0,3.4,7.2,23.5,7.3,13.9,22.6,2271380.0,Low,Low
Tampa,FL,9.053721461187214,14.131666666666666,14.94722602739726,13.886906392694065,1.4729109589041094,182.1986301369863,99.11506849315069,56.106849315068494,23.46849315068493,1127.6,20.848219178082193,365,0.03561643835616438,Hillsborough,27.95,-82.46,South,16.1,34.4,9.4,6.0,6.0,12.1,16.6,12.5,23.9,31.6,1535564.0,Low,Low
Tucson,AZ,5.002477168949771,8.565000000000001,8.603721461187215,6.773664383561643,0.9705022831050228,163.97488584474885,109.67123287671232,56.33150684931507,22.07068493150685,312.1,20.435616438356163,365,0.043835616438356165,Pima,32.22,-110.97,West,12.7,34.1,10.9,6.7,6.8,10.5,22.8,11.0,22.3,31.1,1063162.0,High,Low
Washington,DC,13.284155251141554,26.709166666666672,19.232454337899544,18.62091324200913,4.498778538812785,276.47933789954334,101.56438356164384,71.12602739726027,14.535890410958904,1117.4,16.776986301369863,365,0.136986301369863,District of Columbia,38.91,-77.04,South,6.5,28.5,10.2,3.8,4.0,9.4,21.6,7.8,14.9,24.7,678972.0,High,High
